,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Puerto Rico,age
"(10,)",61466,10016,93365,39872,511179,72162,43086,11520,5752,235373,144272,16543,25258,165347,88927,41685,40299,56759,61827,14591,75039,76484,122726,72928,41553,78574,12894,26645,38532,14937,111591,28198,226318,131191,9650,146928,53819,49200,149559,11841,62513,12042,84849,410872,52469,6659,104706,90323,20896,73371,8019,40661,10
"(11,)",61159,9993,92716,39633,507985,72541,43900,11410,5461,233672,142974,16461,25331,165737,88634,40943,40048,56591,61257,14746,74984,77152,123788,73079,40804,77936,12722,26621,37961,15194,112500,28106,228313,130262,9372,146367,53422,48479,150080,11915,61485,11845,84163,410256,52059,6674,104111,89646,20863,73324,7936,41275,11
"(12,)",61291,9883,92361,39432,505244,72809,44621,11516,5258,231966,143176,16658,25364,167915,89440,40767,39873,56822,60662,14727,74982,79020,126271,73560,40501,77853,12615,26443,37578,15528,114077,27870,230768,130477,9082,148164,53501,48724,151445,12030,61352,11747,84165,408463,51709,6882,104954,89142,21146,73929,7590,40725,12
"(13,)",61233,9813,90003,39209,501903,72043,44926,11498,5064,226944,142126,16314,24788,166740,88805,40590,39906,56251,60165,14660,74479,79515,125596,71805,40052,77361,12379,26069,37543,15736,113939,27728,230915,129648,8799,147916,52779,48186,151800,12130,61024,11257,84044,406223,50981,6961,103828,88139,21129,73375,7569,41134,13
"(14,)",61500,9729,90392,38911,495633,70130,45454,11437,5022,233132,142649,15624,24425,166375,88499,40173,38982,55754,60276,14673,74393,79559,126670,70400,39752,76884,12453,25592,37115,15902,113577,27413,230925,129955,8556,148690,52488,47755,151075,12100,61019,10971,83976,401542,49644,6819,103766,87195,21170,73282,7319,42568,14
"(15,)",64830,9845,92576,39867,510672,71043,46701,11541,5248,240280,145786,15978,25107,170106,91284,40861,39853,57258,61871,15220,76774,81839,131524,71902,41494,79127,12561,25637,38042,16141,116119,27918,236954,134221,8614,153326,52475,49134,156497,12356,62813,10992,86014,407704,49537,7031,105650,89749,21483,74834,7222,46030,15
"(16,)",65577,10033,93867,40569,519705,70983,48107,11952,5182,246380,147488,15836,24932,172652,92802,41788,40395,58513,63113,15778,78240,84011,133959,72405,42592,80400,12592,25757,38166,16504,118764,28425,243483,134469,8654,156070,53331,50144,160873,12619,64016,11301,87689,409400,49908,7299,106972,91186,22104,76224,7461,47810,16
"(17,)",64399,9919,92152,39910,515064,68907,48677,11636,5300,243132,142806,15620,24617,170476,91457,41023,39719,57802,61713,16095,77047,84675,133445,71208,40991,79414,12587,25165,37630,16629,118109,28225,242097,131341,8666,154149,52826,49792,159688,13020,61763,11161,86373,398213,48171,7648,105031,90535,21743,75157,7325,45619,17
"(18,)",63113,8933,93469,38994,524937,70082,51563,12714,8795,237326,140708,15003,23104,166403,87157,42640,38838,56796,58474,16732,78945,98797,136570,69784,40887,76992,12360,25245,33905,17993,112709,27447,256286,134419,9654,151755,51581,49086,169042,16536,64172,10765,82419,384053,45658,9575,109140,87356,21814,75507,7057,47049,18
"(19,)",63131,8507,93630,39355,513743,72149,52740,12421,12148,231422,139809,15253,22010,165053,94946,48370,41401,57199,56804,16638,75343,107483,132743,71219,41856,79462,13269,27770,30686,19001,105082,27284,255947,136541,12259,153180,52433,48712,177003,18389,67326,12318,80643,381685,43681,11202,112037,85060,22155,79719,7348,47578,19
