iter,incidence(millions),beta_H1,beta_H3,beta_B,susceptibility_H1_0,susceptibility_H1_5,susceptibility_H1_25,susceptibility_H1_65,susceptibility_H3_0,susceptibility_H3_5,susceptibility_H3_25,susceptibility_H3_65,susceptibility_B_0,susceptibility_B_5,susceptibility_B_25,susceptibility_B_65,vac_eff_hospitalization,vac_eff_mortality
339,26.31771009562945,[0.0019836010088943867],[0.0013219879603015294],[0.0016041285739128441],[0.53557134546325469],[0.56899452106903636],[0.6576955224333747],[0.92125583220708385],[0.82612025051182747],[0.8633997375606377],[0.95598918574814373],[0.88468663702830919],[0.56497281085536022],[0.65325943626330218],[0.89336615402137953],[0.81254173446711131],[0.0013752110217722935],[0.0011979969123468437]
340,26.13366956345311,[0.0019772972683710921],[0.0019967923006122823],[0.0015230542087025234],[0.58857530214939047],[0.59833417338218253],[0.66694420005166677],[0.47580330523134712],[0.86920593115402911],[0.61011760009093652],[0.44228620491884507],[1.0],[0.63878570325587347],[0.86690257313487273],[0.69332268270291797],[0.74285238980499069],[0.0015374495935546184],[0.0013985081933790555]
341,26.165132592002944,[0.0017974216293552558],[0.0019812097897647929],[0.0014339970226039389],[0.51340079731823052],[0.6490361636183537],[0.66611499309403244],[0.64416530750468559],[0.8351086884985317],[0.55670574201265643],[0.47253199843199484],[1.0],[0.52692926866933432],[0.86201299901535511],[0.70684954844764358],[0.52244036454087073],[0.0017974216293552558],[0.0019812097897647929]
342,26.178013468473015,[0.0013407742940104161],[0.0012984922329919435],[0.0013775322869289952],[0.75709970824914485],[0.84778233076111809],[0.81034641558538512],[0.91507045309514479],[0.58697603995348302],[0.89653933398760099],[0.78674377012389296],[1.0],[0.80431164719857284],[0.93427119881490461],[0.5956136675543664],[0.81261051577891819],[0.0012075547331266145],[0.0013556798783801449]
343,25.767357989279827,[0.001604223645948144],[0.0030684317453262278],[0.001963555091089253],[0.62944999024610082],[0.73819480575232177],[0.94454536824810242],[0.65139031921705493],[0.62690734582968966],[0.3704815503288118],[0.30996688931333605],[1.0],[0.54890917414221763],[0.6688444394415004],[0.56663177074719784],[0.79678804908200984],[0.0016326713885934097],[0.0021146257943647218]
344,26.45572848541021,[0.0014555141253572712],[0.0018788012615182925],[0.0014940849706690518],[0.71789092629105022],[0.82002415732938161],[0.95489869318517573],[1.0],[0.85970672707895091],[0.65072519723115974],[0.58461272180284096],[0.88385896383679941],[0.72063648814480419],[0.91423530167444422],[0.74021575097089531],[1.0],[0.0016097773643060087],[0.0014608056962068794]
345,26.237751807284724,[0.001448101325941753],[0.0018784769128109557],[0.0011174661993746948],[0.75787239106835624],[0.68756447176957491],[0.79672226161769311],[0.47240011896488227],[0.62928190148717345],[0.52304159538213491],[0.51546423134589714],[1.0],[0.80988957402694373],[0.97192601145206181],[0.82537730478315563],[0.91634650802193907],[0.001448101325941753],[0.0018784769128109557]
346,26.210361410338287,[0.0014866420707486117],[0.00252698886100583],[0.0016450740696882238],[0.75096987161625939],[0.83946897269535492],[0.94651656914092608],[0.46813003202843184],[0.86164087284456836],[0.45007439780503716],[0.36614391351955483],[1.0],[0.95855500332955446],[0.83191524565723762],[0.58180097073360537],[0.7913591073083549],[0.0014654574641725371],[0.0017832531831968867]
347,26.269657107628365,[0.0015603804465345039],[0.0022801037471762431],[0.0018656438463451885],[0.89212480629856139],[0.80991160461315481],[0.73964095105676719],[0.55686581069483243],[0.8723253845630794],[0.49956474487638158],[0.42772340218755323],[1.0],[0.97148838212370436],[0.610887327586359],[0.59028417856395066],[0.65555785736528427],[0.001610522150432836],[0.0020168779025959704]
348,25.082235253567365,[0.0013734719226751735],[0.0018352057984385994],[0.0014014490747277231],[0.77956836183052702],[0.88654528384467457],[0.9564456182579093],[0.93646515060705204],[0.71200831035799339],[0.70342289947028902],[0.54612563776853795],[1.0],[0.72631819779623097],[0.89105485766130355],[0.85307109663527303],[0.94340032619852665],[0.001736137947859262],[0.0015479059536518958]
349,26.02095106187769,[0.0028738322776785119],[0.0026088434068320954],[0.0017909612290141763],[0.77795137231371259],[0.43277966730594863],[0.46934580580833657],[0.57421404317240421],[0.58026614852636516],[0.51437754684977643],[0.4638605607296421],[1.0],[0.63852792364721722],[0.8959309702016961],[0.58580523053537292],[0.76413752231036747],[0.0028738322776785119],[0.0026088434068320954]
350,26.483710035975914,[0.0017834880032272515],[0.0015525773925094133],[0.0017612859083975252],[0.66223790441016139],[0.73394970968958306],[0.67385636681711036],[0.73213605241228596],[0.97054648214017403],[0.8244796104995149],[0.65799189339943254],[0.98735293587534745],[0.68417644643894882],[0.79040256259211883],[0.52973082294687257],[0.97816607559460456],[0.0017834880032272515],[0.0015525773925094133]
351,25.434328706195394,[0.0018890890610628874],[0.0020634688815335811],[0.0021046112194305078],[0.73177538910583839],[0.63804527875884265],[0.59238732911937164],[0.81501315392268392],[0.72143797324311898],[0.55296750334097577],[0.48822600038155395],[1.0],[0.59689713672156097],[0.58935153295095521],[0.46665704147374881],[0.81370397724801469],[0.0018890890610628874],[0.0020634688815335811]
352,26.93439553387165,[0.0017995991322720117],[0.0013974014169589322],[0.0020382741726395759],[0.88147620714811414],[0.65470804215594935],[0.69025035617550934],[0.61802709765022668],[0.60880460170053208],[0.86376686878860554],[0.82434593383952026],[1.0],[0.51102275065392577],[0.65968173721348622],[0.47526647749005874],[0.99999564992971257],[0.0017995991322720117],[0.0013974014169589322]
353,26.708835202772377,[0.0021760685667244761],[0.0022558767531151713],[0.0024105242395943693],[0.66584097531927577],[0.4905422606499607],[0.58410267571630181],[0.52103292562627612],[0.76236204646776562],[0.48204179010309278],[0.39705913596825637],[1.0],[0.62691304011229998],[0.49086496833993282],[0.42161901482257635],[0.5366028343393483],[0.0021760685667244761],[0.0022558767531151713]
354,25.74280400284089,[0.002181004458195468],[0.001546403216021508],[0.0017137471768205459],[0.9622728623817085],[0.50755457745780719],[0.6318753149368459],[0.45828778651289803],[0.79360893007060129],[0.8071445536383407],[0.79650928577742786],[1.0],[0.50929137551726988],[0.84209284433901277],[0.65632267743254991],[0.49267325957985914],[0.0020659607630790777],[0.0015665139204251721]
355,27.642872703420757,[0.0018920770351756877],[0.0017803715369801298],[0.0014192040023769392],[0.75175166546581407],[0.50810259935425806],[0.56372647777302276],[0.6754211975110409],[0.8772817369469661],[0.55731296893429638],[0.4733321976631833],[1.0],[0.66979912415127441],[0.80380213854599414],[0.57922363747443828],[0.90146663087661316],[0.0020477896118024641],[0.0016930163729350634]
356,26.59116407238373,[0.0017257792296443419],[0.0016946543306461948],[0.0015449333293051648],[0.93711996024682787],[0.67660201434694822],[0.701431855194252],[0.93838714812666768],[0.70049948230042169],[0.74964533014094414],[0.63134379418797137],[1.0],[1.0],[0.88074057053553823],[0.54640218814436192],[0.94400989980680028],[0.0017257792296443419],[0.0016946543306461948]
357,26.49120905219299,[0.0015343122310392809],[0.0020267103386998886],[0.0017719774463458848],[0.72368826175438772],[0.74205826890174054],[0.81597406008255113],[0.99201177070342572],[1.0],[0.58663184962439252],[0.46872183031803238],[1.0],[0.98121785736433798],[0.75218957073023884],[0.48103689051177717],[0.80972200089147295],[0.0015790360445762097],[0.001572987766409073]
358,24.646279952288566,[0.0032277499025816225],[0.0024180128664534895],[0.0016441440871981516],[0.46250225301287951],[0.43624031346740405],[0.42460154545342393],[0.67901207253255691],[0.55218467501311796],[0.59225664939938372],[0.48138897558373545],[1.0],[0.77138064926011796],[0.99030651386253488],[0.66598930630080544],[0.74745446038530905],[0.0023851543068220682],[0.0019431263589975711]
359,27.555677834511833,[0.0013802431389516312],[0.0022378545432475971],[0.0021923078602091306],[0.99999280141239422],[0.81956257802577936],[0.90968848539029734],[0.80646143331441089],[0.87387413133312752],[0.49491485997830387],[0.3943592232641332],[1.0],[0.61720807879691897],[0.62801097532818329],[0.33350089818752182],[0.5864545374592649],[1.2152840247581231e-05],[0.0017999140310781536]
360,26.786271096084523,[0.0017409949515584944],[0.0023861748570609964],[0.0022013736412394014],[0.97903746635860678],[0.81418626546516015],[0.86600011726780846],[0.85790094259344052],[0.9207348659603396],[0.58388876050960004],[0.47718338899316487],[0.99526726220876471],[0.70053525999298238],[0.72716367645497249],[0.52049759912039717],[0.60380795315310265],[0.0021683532603333222],[0.0016787782332871037]
